cell	latitude	longitude	n_seagrass_plants	method
1	51.448749	4.202215	18	1
2	51.450274	4.197732	22	1
3	51.449043	4.185043	55	1
4	51.446397	4.192101	15	1
5	51.449985	4.196009	6	1
6	51.447979	4.189112	26	1
7	51.452021	4.202402	98	1
8	51.447069	4.189879	18	1
9	51.448440	4.199831	80	1
10	51.451828	4.194130	51	1
11	51.446895	4.196030	48	1
12	51.447020	4.195096	15	1
13	51.450696	4.194350	18	1
14	51.446935	4.183333	24	1
15	51.447371	4.191943	85	1
16	51.451618	4.190708	81	1
17	51.449335	4.202558	79	1
18	51.447432	4.195424	77	1
19	51.450326	4.196871	64	1
20	51.449175	4.189803	43	1
21	51.452090	4.190995	46	1
22	51.450946	4.200965	7	1
23	51.448594	4.187692	83	1
24	51.450331	4.198446	90	1
25	51.450867	4.201194	65	1
26	51.446813	4.196590	32	2
27	51.446921	4.198179	41	2
28	51.450215	4.197443	90	2
29	51.449591	4.187271	100	2
30	51.449152	4.187216	39	2
31	51.450409	4.190087	95	2
32	51.445978	4.185126	58	2
33	51.450997	4.185229	24	2
34	51.447197	4.190753	76	2
35	51.448384	4.197349	13	2
36	51.451987	4.195926	79	2
37	51.446141	4.191883	69	2
38	51.450852	4.200607	6	2
39	51.452072	4.201854	6	2
40	51.446485	4.185656	20	2
41	51.446459	4.187933	82	2
42	51.451764	4.191001	88	2
43	51.448543	4.191990	69	2
44	51.448716	4.186762	89	2
45	51.451213	4.191322	74	2
46	51.451036	4.184379	26	2
47	51.447568	4.202978	76	2
48	51.451119	4.184737	33	2
49	51.452088	4.190767	29	2
50	51.445918	4.199048	34	2
51	51.451708	4.203040	4	3
52	51.447726	4.191014	71	3
53	51.446396	4.188879	83	3
54	51.450398	4.183270	82	3
55	51.450991	4.189993	11	3
56	51.451424	4.183487	86	3
57	51.447042	4.202721	98	3
58	51.450197	4.200190	2	3
59	51.446791	4.200975	70	3
60	51.450131	4.183078	0	3
61	51.449046	4.186360	40	3
62	51.450416	4.186786	48	3
63	51.449627	4.194561	20	3
64	51.446354	4.192133	34	3
65	51.446744	4.194726	95	3
66	51.449028	4.196090	74	3
67	51.451252	4.194612	16	3
68	51.446192	4.199194	28	3
69	51.450291	4.200359	55	3
70	51.446331	4.201319	11	3
71	51.446024	4.185948	53	3
72	51.450172	4.188792	13	3
73	51.446492	4.194360	86	3
74	51.446771	4.198283	18	3
75	51.446809	4.201949	74	3
76	51.450468	4.190540	45	4
77	51.446546	4.199808	93	4
78	51.446619	4.201473	41	4
79	51.448826	4.199821	100	4
80	51.450478	4.198706	29	4
81	51.447319	4.201467	44	4
82	51.449041	4.193979	28	4
83	51.448810	4.200865	16	4
84	51.448864	4.193217	94	4
85	51.448953	4.202288	26	4
86	51.451185	4.194798	85	4
87	51.449650	4.193491	3	4
88	51.446562	4.186549	98	4
89	51.450287	4.192246	74	4
90	51.445968	4.187344	88	4
91	51.446645	4.188921	41	4
92	51.447791	4.200489	39	4
93	51.451690	4.186717	56	4
94	51.446871	4.194975	11	4
95	51.449738	4.201876	82	4
96	51.448528	4.184587	91	4
97	51.447163	4.188261	77	4
98	51.446587	4.201787	85	4
99	51.447168	4.193392	2	4
100	51.450504	4.200025	60	4
